comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
you might like to consider that i don t give a shit what you do or think,1,0,1,0,1,0
what the heck are you talking about i ask my good chum because your question is unclear and if it s unclear how can it possibly be answered,0,0,0,0,0,0
uncle tom house nigger,1,0,1,0,0,1
well just because you hate the word doesn t mean mentioning it in wp is vandalism,0,0,0,0,0,0
source place named scotland,0,0,0,0,0,0
please do not vandalize page a you did with this edit to blowout if you continue to do so you will be blocked from editing,0,0,0,0,0,0
virtually incomprehensible although a everyone know the therapeutic and hygienic practice of the roman public bath slowly lost ground to the social and gathering of ill repute a the roman morality went on the decline in the later year,0,0,0,0,0,0
like i said the comment were made by khomeini not anyone else so they belong here you can go ahead and add anything you want to any rabbi s article in fact if you read some israeli politician s page you would find a lot of controversial saying included a a leader of a country and especially a a religious figure it s important to know khomenini s view on non muslim this is the only thing i ve found so far you can find other thing and add them in if you want talk,0,0,0,0,0,0
get in the ring,0,0,0,0,0,0
santo dimera your continued vandalism to the santo dimera page ha been noted several editor have addressed your concern about the retcon section a consensus ha been reached to leave the retcon section do not remove it do not change it do not vandalise it wikipedia is for learning adding the correct term expands people s knowledge do not continue vandalising the article your continued changing of your ip address to circumvent action to your account is in violation of the spirit of wikipedia retcon is to explain what the story wa and what the story is you edits remove fact that must be covered in a retcon section flyer22 ha addressed your concern if you have further issue contact flyer but refrain from editing the santo dimera page,0,0,0,0,0,0
i ll let you do your thing too many cook ruin stew and all that,0,0,0,0,0,0
the article state numerous time both above and below the chart that the actual number are estimated to be much higher,0,0,0,0,0,0
yes it is there should ve been a preview of the rfc wording before the rfc wa opened the original opening didn t outline the actual issue in dispute though i d think we who ve been involved in this for day might ve been aware of them,0,0,0,0,0,0
if you want to add stuff about uncleanliness you can create a new section and add them in this section ha been created to include khomeini s view on non muslim there s a lot more material to come and i d probably create a new article about this until then we would have a section all this should be pretty reasonable the only objectionable thing is that the section is not neutral enough but then again you can add positive stuff and i will too talk,0,0,0,0,0,0
ah yes them too i actually haven t seen them yet i guess i m just not noticing which article are taking massive amount of vandalism,0,0,0,0,0,0
utc i am going to partly undo the edit for the time being i am going to omit the word intentionally or recklessly in order to commit it in the original text because i am not sure if they are correct 18 57 23 august 2011,0,0,0,0,0,0
speedy deletion of larry jones esan a tag ha been placed on larry jones esan requesting that it be speedily deleted from wikipedia this ha been done under section a1 of the criterion for speedy deletion because it is a very short article providing little or no context to the reader please see wikipedia stub for our minimum information standard for short article also please note that article must be on notable subject and should provide reference to reliable source that verify their content if you think that this notice wa placed here in error you may contest the deletion by adding to the top of the page just below the existing speedy deletion or db tag coupled with adding a note on the article s talk page explaining your position but be aware that once tagged for speedy deletion if the article meet the criterion it may be deleted without delay please do not remove the speedy deletion tag yourself but don t hesitate to add information to the article that would would render it more in conformance with wikipedia s policy and guideline,0,0,0,0,0,0
jeez is he ever not in a bad mood grow a sense of humopr already yes erik that wa precisely what i wa commenting on cast a spell,0,0,0,0,0,0
of course this user ha an agenda he is engaged in a propaganda campaign here on wikipedia and on countless other site it s amazing that he ha received block after block and two indef ban yet the ban are somehow lifted i predict this user will accuse me of being a sock puppet of nisarkand i d advise any admin who fall prey to beh nam s deception to check and see for themselves that i am not him further i d be careful to accept his claim that something is common knowledge on the contrary the claim he make are quite popular with certain fringe political group there is no doubt that he is part of such organization and pushing forward their agenda in the guise a scholarly contributor to wikipedia,0,0,0,0,0,0
